Degree,Field,SubField,COLLEGE,DURATION,COLLEGE FEE,NIRF AND OTHER RANK(2022),MIN MARKS FOR ELIGIBILITY,QUALIFIED DEGREE,Deadline ,ENTRANCE NAME AND DURATION,EXAM DETAILS,TEST DATE,APPLICATION PROCESS,APPLICATION FEE,SELECTION PROCESS,INTAKE,LINK,Scholarships/Fellowships,Unnamed: 19
Masters,Civil Engineering,Infrastructure Engineering, PSG college of Technology/Management,,,,"For M.E./ M.Tech, the candidates should have passed B.E./B.Tech or equivalent degrees in the relevant branch with at least 50% marks",,,TANCET,,,,,,,https://tancet.annauniv.edu/tancet/mex22hall/forgot.php,,
Masters,Industrial Engineering,Manufacturing Engineering (erstwhile Production Engineering), PSG college of Technology/Management,,,,"For M.E./ M.Tech, the candidates should have passed B.E./B.Tech or equivalent degrees in the relevant branch with at least 50% marks",,,TANCET,,,,,,,https://tancet.annauniv.edu/tancet/mex22hall/forgot.php,,
Masters,Power,Power Electronics and Drives, PSG college of Technology/Management,,,,"For M.E./ M.Tech, the candidates should have passed B.E./B.Tech or equivalent degrees in the relevant branch with at least 50% marks",,,TANCET,,,,,,,https://tancet.annauniv.edu/tancet/mex22hall/forgot.php,,
Masters,Civil Engineering,Structural Engineering, PSG college of Technology/Management,,,,"For M.E./ M.Tech, the candidates should have passed B.E./B.Tech or equivalent degrees in the relevant branch with at least 50% marks",,,TANCET,,,,,,,https://tancet.annauniv.edu/tancet/mex22hall/forgot.php,,
Masters,Industrial Engineering,Virtual Prototyping and Digital Manufacturing, PSG college of Technology/Management,,,,"For M.E./ M.Tech, the candidates should have passed B.E./B.Tech or equivalent degrees in the relevant branch with at least 50% marks",,,TANCET,,,,,,,https://tancet.annauniv.edu/tancet/mex22hall/forgot.php,,
Masters,Electrical Engineering,Vlsi Design, PSG college of Technology/Management,,,,"For M.E./ M.Tech, the candidates should have passed B.E./B.Tech or equivalent degrees in the relevant branch with at least 50% marks",,,TANCET,,,,,,,https://tancet.annauniv.edu/tancet/mex22hall/forgot.php,,
Masters,Electrical Engineering,Wireless Communication, PSG college of Technology/Management,,,,"For M.E./ M.Tech, the candidates should have passed B.E./B.Tech or equivalent degrees in the relevant branch with at least 50% marks",,,TANCET,,,,,,,https://tancet.annauniv.edu/tancet/mex22hall/forgot.php,,
Masters,Life Science,Biotechnology, PSG college of Technology/Management,,,,"For M.E./ M.Tech, the candidates should have passed B.E./B.Tech or equivalent degrees in the relevant branch with at least 50% marks",,,TANCET,,,,,,,https://tancet.annauniv.edu/tancet/mex22hall/forgot.php,,
Masters,IT-ITeS,Information Technology, PSG college of Technology/Management,,,,"For M.E./ M.Tech, the candidates should have passed B.E./B.Tech or equivalent degrees in the relevant branch with at least 50% marks",,,TANCET,,,,,,,https://tancet.annauniv.edu/tancet/mex22hall/forgot.php,,
Masters,Nanosystem Engineer,Nano Science and Technology, PSG college of Technology/Management,,,,"For M.E./ M.Tech, the candidates should have passed B.E./B.Tech or equivalent degrees in the relevant branch with at least 50% marks",,,TANCET,,,,,,,https://tancet.annauniv.edu/tancet/mex22hall/forgot.php,,
Masters,Textile Engineering,Textile Technology, PSG college of Technology/Management,,,,"For M.E./ M.Tech, the candidates should have passed B.E./B.Tech or equivalent degrees in the relevant branch with at least 50% marks",,,TANCET,,,,,,,https://tancet.annauniv.edu/tancet/mex22hall/forgot.php,,
Masters,IT-ITeS,Computer Application, PSG college of Technology/Management,,,,,"For MCA, the candidates  should have passed any degree in Engineering/ Technology/ Commerce/ Computer Applications/ Banking/ Business Administration/ Science with Mathematics or B.Sc or BCA from any recognised university",,TANCET,,,,,,,https://tancet.annauniv.edu/tancet/mex22hall/forgot.php,,
Masters,IT-ITeS,Theoretical Computer Science (5 Years Integrated), PSG college of Technology/Management,,,,,"For M.Sc, the candidates should have a degree of B.Sc in Mathematics/ Applied Science from any recognised university",,TANCET,,,,,,,https://tancet.annauniv.edu/tancet/mex22hall/forgot.php,,
Masters,IT-ITeS,Software Systems (5 Years Integrated), PSG college of Technology/Management,,,,,"For M.Sc, the candidates should have a degree of B.Sc in Mathematics/ Applied Science from any recognised university",,TANCET,,,,,,,https://tancet.annauniv.edu/tancet/mex22hall/forgot.php,,
Masters,Mathematics,Applied Mathematics, PSG college of Technology/Management,,,,,"For M.Sc, the candidates should have a degree of B.Sc in Mathematics/ Applied Science from any recognised university",,TANCET,,,,,,,https://tancet.annauniv.edu/tancet/mex22hall/forgot.php,,
Masters,IT-ITeS,Data Science (5 Years Integrated), PSG college of Technology/Management,,,,,"For M.Sc, the candidates should have a degree of B.Sc in Mathematics/ Applied Science from any recognised university",,TANCET,,,,,,,https://tancet.annauniv.edu/tancet/mex22hall/forgot.php,,
Masters,Fashion Design and Merchandising,Fashion Design and Merchandising (5 Years Integrated), PSG college of Technology/Management,,,,,"For M.Sc, the candidates should have a degree of B.Sc in Mathematics/ Applied Science from any recognised university",,TANCET,,,,,,,https://tancet.annauniv.edu/tancet/mex22hall/forgot.php,,
Masters,IT-ITeS,Cyber Security (5 Years Integrated), PSG college of Technology/Management,,,,,"For M.Sc, the candidates should have a degree of B.Sc in Mathematics/ Applied Science from any recognised university",,TANCET,,,,,,,https://tancet.annauniv.edu/tancet/mex22hall/forgot.php,,
Masters,Mechanical Engineering,Cad/ Cam,Madha Engineering College,,,,,BE or B.Tech Degree in relevant discipline,,TANCET,,,,,,,https://tancet.annauniv.edu/tancet/mex22hall/forgot.php,,
Masters,Electrical Engineering,Communication System,Madha Engineering College,,,,,BE or B.Tech Degree in relevant discipline,,TANCET,,,,,,,https://tancet.annauniv.edu/tancet/mex22hall/forgot.php,,
Masters,IT-ITeS,Computer Science and Engineering,Madha Engineering College,,,,,BE or B.Tech Degree in relevant discipline,,TANCET,,,,,,,https://tancet.annauniv.edu/tancet/mex22hall/forgot.php,,
Masters,Power,Power Electronics and Drives,Madha Engineering College,,,,,BE or B.Tech Degree in relevant discipline,,TANCET,,,,,,,https://tancet.annauniv.edu/tancet/mex22hall/forgot.php,,
Masters,Electrical Engineering,Vlsi Design,Madha Engineering College,,,,,BE or B.Tech Degree in relevant discipline,,TANCET,,,,,,,https://tancet.annauniv.edu/tancet/mex22hall/forgot.php,,
Masters,IT-ITeS,Computer Application,Madha Engineering College,,,,"Graduation with minimum 50% marks (45% for SC, ST candidates)",,,TANCET,,,,,,,https://tancet.annauniv.edu/tancet/mex22hall/forgot.php,,
Masters,,Engineering,Thiagarajar college of engineering/management,,,,,BE or B.Tech Degree in relevant discipline,,TANCET,,,,,,,https://tancet.annauniv.edu/tancet/mex22hall/forgot.php,,
Masters,IT-ITeS,Computer Application,Thiagarajar college of engineering/management,,,,Candidates should have passed Bachelor's Degree in 10+2+3 pattern with core Mathematics at 10+2 School level (or) with Mathematics/ Statistics as one of the subjects at degree level,,,TANCET,,,,,,,https://tancet.annauniv.edu/tancet/mex22hall/forgot.php,,
Masters,IT-ITeS,Computer Science and Engineering,"International Institute of Information Technology, Hyderabad",,,,,,,IIITH PGEE,,,,,,,Postgraduate Entrance Examination (PGEE) Monsoon 2023 (iiit.ac.in),,
Masters,IT-ITeS,Computer Science and Information Security,"International Institute of Information Technology, Hyderabad",,,,,,,IIITH PGEE,,,,,,,Postgraduate Entrance Examination (PGEE) Monsoon 2023 (iiit.ac.in),,
Masters,Industrial Engineering,Product Design and Management,"International Institute of Information Technology, Hyderabad",,,,,,,IIITH PGEE,,,,,,,Postgraduate Entrance Examination (PGEE) Monsoon 2023 (iiit.ac.in),,
Masters,IT-ITeS,Computer Aided Structural Engineering,"International Institute of Information Technology, Hyderabad",,,,,,,IIITH PGEE,,,,,,,Postgraduate Entrance Examination (PGEE) Monsoon 2023 (iiit.ac.in),,
Masters,IT-ITeS,Computer Science and Engineering,"International Institute of Information Technology, Hyderabad",,,,,,,IIITH PGEE,,,,,,,Postgraduate Entrance Examination (PGEE) Monsoon 2023 (iiit.ac.in),,
Masters,Electrical Engineering,Electronics and Communication Engineering,"International Institute of Information Technology, Hyderabad",,,,,,,IIITH PGEE,,,,,,,Postgraduate Entrance Examination (PGEE) Monsoon 2023 (iiit.ac.in),,
Masters,Civil Engineering,Civil Engineering,"International Institute of Information Technology, Hyderabad",,,,,,,IIITH PGEE,,,,,,,Postgraduate Entrance Examination (PGEE) Monsoon 2023 (iiit.ac.in),,
Masters,Life Science,Bioinformatics,"International Institute of Information Technology, Hyderabad",,,,,,,IIITH PGEE,,,,,,,Postgraduate Entrance Examination (PGEE) Monsoon 2023 (iiit.ac.in),,
Masters,Agriculture,Agronomy,"Jawahar lal Nehru Krishi Vishwavidyalaya, Jabalpur",,,,,"For UG -  Indian national candidates must have passed 10+2 Senior Secondary Examination of the Central Board of Secondary Education or any other examination within the scope and standard found to be equivalent to the Senior Secondary Examination of a recognized Indian Board/University securing not less than 50% marks in aggregate, For PG - Candidate should note that for admission to Master’s degree programs through the entrance examination conducted by NTA, only the candidates having passed graduation with four/six (12+4/10+6 B.Sc. Ag.) / five years’ (B.V.Sc. & AH) / 5½ years (B.V.Sc. & AH) degree program will be eligible.",,AIEEA PG and AICE - for JRF,,,,,,,"https://icar.nta.nic.in/, https://www.shiksha.com/science/articles/all-about-icar-entrance-exam-courses-offered-colleges-blogId-23787#:~:text=Three%20types%20of%20entrance%20exams%20are%20conducted%20by,%28JRF%29%20as%20well%20as%20Senior%20Research%20Fellowship%20%28SRF%29.",,
Masters,Agriculture,Genetics & Plant Breeding,"Jawahar lal Nehru Krishi Vishwavidyalaya, Jabalpur",,,,,"For UG -  Indian national candidates must have passed 10+2 Senior Secondary Examination of the Central Board of Secondary Education or any other examination within the scope and standard found to be equivalent to the Senior Secondary Examination of a recognized Indian Board/University securing not less than 50% marks in aggregate, For PG - Candidate should note that for admission to Master’s degree programs through the entrance examination conducted by NTA, only the candidates having passed graduation with four/six (12+4/10+6 B.Sc. Ag.) / five years’ (B.V.Sc. & AH) / 5½ years (B.V.Sc. & AH) degree program will be eligible.",,AIEEA PG and AICE - for JRF,,,,,,,"https://icar.nta.nic.in/, https://www.shiksha.com/science/articles/all-about-icar-entrance-exam-courses-offered-colleges-blogId-23787#:~:text=Three%20types%20of%20entrance%20exams%20are%20conducted%20by,%28JRF%29%20as%20well%20as%20Senior%20Research%20Fellowship%20%28SRF%29.",,
Masters,Agriculture,Horticulture Fruits Science,"Jawahar lal Nehru Krishi Vishwavidyalaya, Jabalpur",,,,,"For UG -  Indian national candidates must have passed 10+2 Senior Secondary Examination of the Central Board of Secondary Education or any other examination within the scope and standard found to be equivalent to the Senior Secondary Examination of a recognized Indian Board/University securing not less than 50% marks in aggregate, For PG - Candidate should note that for admission to Master’s degree programs through the entrance examination conducted by NTA, only the candidates having passed graduation with four/six (12+4/10+6 B.Sc. Ag.) / five years’ (B.V.Sc. & AH) / 5½ years (B.V.Sc. & AH) degree program will be eligible.",,AIEEA PG and AICE - for JRF,,,,,,,"https://icar.nta.nic.in/, https://www.shiksha.com/science/articles/all-about-icar-entrance-exam-courses-offered-colleges-blogId-23787#:~:text=Three%20types%20of%20entrance%20exams%20are%20conducted%20by,%28JRF%29%20as%20well%20as%20Senior%20Research%20Fellowship%20%28SRF%29.",,
Masters,Agriculture,Horticulture Vegetable Science,"Jawahar lal Nehru Krishi Vishwavidyalaya, Jabalpur",,,,,"For UG -  Indian national candidates must have passed 10+2 Senior Secondary Examination of the Central Board of Secondary Education or any other examination within the scope and standard found to be equivalent to the Senior Secondary Examination of a recognized Indian Board/University securing not less than 50% marks in aggregate, For PG - Candidate should note that for admission to Master’s degree programs through the entrance examination conducted by NTA, only the candidates having passed graduation with four/six (12+4/10+6 B.Sc. Ag.) / five years’ (B.V.Sc. & AH) / 5½ years (B.V.Sc. & AH) degree program will be eligible.",,AIEEA PG and AICE - for JRF,,,,,,,"https://icar.nta.nic.in/, https://www.shiksha.com/science/articles/all-about-icar-entrance-exam-courses-offered-colleges-blogId-23787#:~:text=Three%20types%20of%20entrance%20exams%20are%20conducted%20by,%28JRF%29%20as%20well%20as%20Senior%20Research%20Fellowship%20%28SRF%29.",,
Masters,Agriculture,Soil Science and Agricultural Chemistry,"Jawahar lal Nehru Krishi Vishwavidyalaya, Jabalpur",,,,,"For UG -  Indian national candidates must have passed 10+2 Senior Secondary Examination of the Central Board of Secondary Education or any other examination within the scope and standard found to be equivalent to the Senior Secondary Examination of a recognized Indian Board/University securing not less than 50% marks in aggregate, For PG - Candidate should note that for admission to Master’s degree programs through the entrance examination conducted by NTA, only the candidates having passed graduation with four/six (12+4/10+6 B.Sc. Ag.) / five years’ (B.V.Sc. & AH) / 5½ years (B.V.Sc. & AH) degree program will be eligible.",,AIEEA PG and AICE - for JRF,,,,,,,"https://icar.nta.nic.in/, https://www.shiksha.com/science/articles/all-about-icar-entrance-exam-courses-offered-colleges-blogId-23787#:~:text=Three%20types%20of%20entrance%20exams%20are%20conducted%20by,%28JRF%29%20as%20well%20as%20Senior%20Research%20Fellowship%20%28SRF%29.",,
Masters,Agriculture,Plant Pathology,"Jawahar lal Nehru Krishi Vishwavidyalaya, Jabalpur",,,,,"For UG -  Indian national candidates must have passed 10+2 Senior Secondary Examination of the Central Board of Secondary Education or any other examination within the scope and standard found to be equivalent to the Senior Secondary Examination of a recognized Indian Board/University securing not less than 50% marks in aggregate, For PG - Candidate should note that for admission to Master’s degree programs through the entrance examination conducted by NTA, only the candidates having passed graduation with four/six (12+4/10+6 B.Sc. Ag.) / five years’ (B.V.Sc. & AH) / 5½ years (B.V.Sc. & AH) degree program will be eligible.",,AIEEA PG and AICE - for JRF,,,,,,,"https://icar.nta.nic.in/, https://www.shiksha.com/science/articles/all-about-icar-entrance-exam-courses-offered-colleges-blogId-23787#:~:text=Three%20types%20of%20entrance%20exams%20are%20conducted%20by,%28JRF%29%20as%20well%20as%20Senior%20Research%20Fellowship%20%28SRF%29.",,
Masters,Agriculture,Entomology,"Jawahar lal Nehru Krishi Vishwavidyalaya, Jabalpur",,,,,"For UG -  Indian national candidates must have passed 10+2 Senior Secondary Examination of the Central Board of Secondary Education or any other examination within the scope and standard found to be equivalent to the Senior Secondary Examination of a recognized Indian Board/University securing not less than 50% marks in aggregate, For PG - Candidate should note that for admission to Master’s degree programs through the entrance examination conducted by NTA, only the candidates having passed graduation with four/six (12+4/10+6 B.Sc. Ag.) / five years’ (B.V.Sc. & AH) / 5½ years (B.V.Sc. & AH) degree program will be eligible.",,AIEEA PG and AICE - for JRF,,,,,,,"https://icar.nta.nic.in/, https://www.shiksha.com/science/articles/all-about-icar-entrance-exam-courses-offered-colleges-blogId-23787#:~:text=Three%20types%20of%20entrance%20exams%20are%20conducted%20by,%28JRF%29%20as%20well%20as%20Senior%20Research%20Fellowship%20%28SRF%29.",,
Masters,Agriculture,Agricultural Economics,"Jawahar lal Nehru Krishi Vishwavidyalaya, Jabalpur",,,,,"For UG -  Indian national candidates must have passed 10+2 Senior Secondary Examination of the Central Board of Secondary Education or any other examination within the scope and standard found to be equivalent to the Senior Secondary Examination of a recognized Indian Board/University securing not less than 50% marks in aggregate, For PG - Candidate should note that for admission to Master’s degree programs through the entrance examination conducted by NTA, only the candidates having passed graduation with four/six (12+4/10+6 B.Sc. Ag.) / five years’ (B.V.Sc. & AH) / 5½ years (B.V.Sc. & AH) degree program will be eligible.",,AIEEA PG and AICE - for JRF,,,,,,,"https://icar.nta.nic.in/, https://www.shiksha.com/science/articles/all-about-icar-entrance-exam-courses-offered-colleges-blogId-23787#:~:text=Three%20types%20of%20entrance%20exams%20are%20conducted%20by,%28JRF%29%20as%20well%20as%20Senior%20Research%20Fellowship%20%28SRF%29.",,
Masters,Agriculture,Agricultural Extension & Communication,"Jawahar lal Nehru Krishi Vishwavidyalaya, Jabalpur",,,,,"For UG -  Indian national candidates must have passed 10+2 Senior Secondary Examination of the Central Board of Secondary Education or any other examination within the scope and standard found to be equivalent to the Senior Secondary Examination of a recognized Indian Board/University securing not less than 50% marks in aggregate, For PG - Candidate should note that for admission to Master’s degree programs through the entrance examination conducted by NTA, only the candidates having passed graduation with four/six (12+4/10+6 B.Sc. Ag.) / five years’ (B.V.Sc. & AH) / 5½ years (B.V.Sc. & AH) degree program will be eligible.",,AIEEA PG and AICE - for JRF,,,,,,,"https://icar.nta.nic.in/, https://www.shiksha.com/science/articles/all-about-icar-entrance-exam-courses-offered-colleges-blogId-23787#:~:text=Three%20types%20of%20entrance%20exams%20are%20conducted%20by,%28JRF%29%20as%20well%20as%20Senior%20Research%20Fellowship%20%28SRF%29.",,
Masters,Agriculture,Food Sc. and Tech.,"Jawahar lal Nehru Krishi Vishwavidyalaya, Jabalpur",,,,,"For UG -  Indian national candidates must have passed 10+2 Senior Secondary Examination of the Central Board of Secondary Education or any other examination within the scope and standard found to be equivalent to the Senior Secondary Examination of a recognized Indian Board/University securing not less than 50% marks in aggregate, For PG - Candidate should note that for admission to Master’s degree programs through the entrance examination conducted by NTA, only the candidates having passed graduation with four/six (12+4/10+6 B.Sc. Ag.) / five years’ (B.V.Sc. & AH) / 5½ years (B.V.Sc. & AH) degree program will be eligible.",,AIEEA PG and AICE - for JRF,,,,,,,"https://icar.nta.nic.in/, https://www.shiksha.com/science/articles/all-about-icar-entrance-exam-courses-offered-colleges-blogId-23787#:~:text=Three%20types%20of%20entrance%20exams%20are%20conducted%20by,%28JRF%29%20as%20well%20as%20Senior%20Research%20Fellowship%20%28SRF%29.",,
Masters,Agriculture,Agricultural Statistics,"Jawahar lal Nehru Krishi Vishwavidyalaya, Jabalpur",,,,,"For UG -  Indian national candidates must have passed 10+2 Senior Secondary Examination of the Central Board of Secondary Education or any other examination within the scope and standard found to be equivalent to the Senior Secondary Examination of a recognized Indian Board/University securing not less than 50% marks in aggregate, For PG - Candidate should note that for admission to Master’s degree programs through the entrance examination conducted by NTA, only the candidates having passed graduation with four/six (12+4/10+6 B.Sc. Ag.) / five years’ (B.V.Sc. & AH) / 5½ years (B.V.Sc. & AH) degree program will be eligible.",,AIEEA PG and AICE - for JRF,,,,,,,"https://icar.nta.nic.in/, https://www.shiksha.com/science/articles/all-about-icar-entrance-exam-courses-offered-colleges-blogId-23787#:~:text=Three%20types%20of%20entrance%20exams%20are%20conducted%20by,%28JRF%29%20as%20well%20as%20Senior%20Research%20Fellowship%20%28SRF%29.",,
Masters,Agriculture,Plant Physiology,"Jawahar lal Nehru Krishi Vishwavidyalaya, Jabalpur",,,,,"For UG -  Indian national candidates must have passed 10+2 Senior Secondary Examination of the Central Board of Secondary Education or any other examination within the scope and standard found to be equivalent to the Senior Secondary Examination of a recognized Indian Board/University securing not less than 50% marks in aggregate, For PG - Candidate should note that for admission to Master’s degree programs through the entrance examination conducted by NTA, only the candidates having passed graduation with four/six (12+4/10+6 B.Sc. Ag.) / five years’ (B.V.Sc. & AH) / 5½ years (B.V.Sc. & AH) degree program will be eligible.",,AIEEA PG and AICE - for JRF,,,,,,,"https://icar.nta.nic.in/, https://www.shiksha.com/science/articles/all-about-icar-entrance-exam-courses-offered-colleges-blogId-23787#:~:text=Three%20types%20of%20entrance%20exams%20are%20conducted%20by,%28JRF%29%20as%20well%20as%20Senior%20Research%20Fellowship%20%28SRF%29.",,
Masters,Agriculture,Plant Biotechnology,"Jawahar lal Nehru Krishi Vishwavidyalaya, Jabalpur",,,,,"For UG -  Indian national candidates must have passed 10+2 Senior Secondary Examination of the Central Board of Secondary Education or any other examination within the scope and standard found to be equivalent to the Senior Secondary Examination of a recognized Indian Board/University securing not less than 50% marks in aggregate, For PG - Candidate should note that for admission to Master’s degree programs through the entrance examination conducted by NTA, only the candidates having passed graduation with four/six (12+4/10+6 B.Sc. Ag.) / five years’ (B.V.Sc. & AH) / 5½ years (B.V.Sc. & AH) degree program will be eligible.",,AIEEA PG and AICE - for JRF,,,,,,,"https://icar.nta.nic.in/, https://www.shiksha.com/science/articles/all-about-icar-entrance-exam-courses-offered-colleges-blogId-23787#:~:text=Three%20types%20of%20entrance%20exams%20are%20conducted%20by,%28JRF%29%20as%20well%20as%20Senior%20Research%20Fellowship%20%28SRF%29.",,
Masters,Agriculture,Forestry Silvi-culture and Agroforestry,"Jawahar lal Nehru Krishi Vishwavidyalaya, Jabalpur",,,,,"For UG -  Indian national candidates must have passed 10+2 Senior Secondary Examination of the Central Board of Secondary Education or any other examination within the scope and standard found to be equivalent to the Senior Secondary Examination of a recognized Indian Board/University securing not less than 50% marks in aggregate, For PG - Candidate should note that for admission to Master’s degree programs through the entrance examination conducted by NTA, only the candidates having passed graduation with four/six (12+4/10+6 B.Sc. Ag.) / five years’ (B.V.Sc. & AH) / 5½ years (B.V.Sc. & AH) degree program will be eligible.",,AIEEA PG and AICE - for JRF,,,,,,,"https://icar.nta.nic.in/, https://www.shiksha.com/science/articles/all-about-icar-entrance-exam-courses-offered-colleges-blogId-23787#:~:text=Three%20types%20of%20entrance%20exams%20are%20conducted%20by,%28JRF%29%20as%20well%20as%20Senior%20Research%20Fellowship%20%28SRF%29.",,
Masters,Agriculture,Agri Business Management,"Jawahar lal Nehru Krishi Vishwavidyalaya, Jabalpur",,,,,"For UG -  Indian national candidates must have passed 10+2 Senior Secondary Examination of the Central Board of Secondary Education or any other examination within the scope and standard found to be equivalent to the Senior Secondary Examination of a recognized Indian Board/University securing not less than 50% marks in aggregate, For PG - Candidate should note that for admission to Master’s degree programs through the entrance examination conducted by NTA, only the candidates having passed graduation with four/six (12+4/10+6 B.Sc. Ag.) / five years’ (B.V.Sc. & AH) / 5½ years (B.V.Sc. & AH) degree program will be eligible.",,AIEEA PG and AICE - for JRF,,,,,,,"https://icar.nta.nic.in/, https://www.shiksha.com/science/articles/all-about-icar-entrance-exam-courses-offered-colleges-blogId-23787#:~:text=Three%20types%20of%20entrance%20exams%20are%20conducted%20by,%28JRF%29%20as%20well%20as%20Senior%20Research%20Fellowship%20%28SRF%29.",,
Masters,Agriculture,Entomology,"Pandit Jawaharlal Nehru College Of Agriculture And Research Institute,Karaika",,,,,"For UG -  Indian national candidates must have passed 10+2 Senior Secondary Examination of the Central Board of Secondary Education or any other examination within the scope and standard found to be equivalent to the Senior Secondary Examination of a recognized Indian Board/University securing not less than 50% marks in aggregate, For PG - Candidate should note that for admission to Master’s degree programs through the entrance examination conducted by NTA, only the candidates having passed graduation with four/six (12+4/10+6 B.Sc. Ag.) / five years’ (B.V.Sc. & AH) / 5½ years (B.V.Sc. & AH) degree program will be eligible.",,AIEEA PG and AICE - for JRF,,,,,,,"https://icar.nta.nic.in/, https://www.shiksha.com/science/articles/all-about-icar-entrance-exam-courses-offered-colleges-blogId-23787#:~:text=Three%20types%20of%20entrance%20exams%20are%20conducted%20by,%28JRF%29%20as%20well%20as%20Senior%20Research%20Fellowship%20%28SRF%29.",,
Bachelors,Astronomical Engineering,Astronomical Engineering,"Indian Institute of Space Science and Technology (IIST), Thiruvananthapuram",,,,,,,,,,,,,,,,
Bachelors,Aerospace Engineering,Areospace Engineering,IIT Bombay,"4-5 Years
",INR 10 lakh (IIT B BTech),,,,,JEE,,,,,,,"https://www.aero.iitb.ac.in/home/
","Institute Merit-cumMeans Scholarship
Institute free studentship
Girish Ready Scholarship
Indian Womens Association at Bonn Scholarship
National Science Foundation
IIST-ISRO Ph.D. Fellowship
Fulbright-Nehru Master’s Fellowships
MIT Scholarship
Financial Aid
Cambridge Commonwealth and Collwgw Awards
Oxford and Cambridge Society of India is a scholarship
SGPC Cambridge Scholarships",
Bachelors,Aerospace Engineering,Areospace Engineering,IIST Thiruvananthapuram,"
2-3 Years
","INR 67950 (IIST)  (BTech)
",,,,,JEE,,,,,,,"https://www.iist.ac.in/departments/aerospace-profile
","Institute Merit-cumMeans Scholarship
Institute free studentship
Girish Ready Scholarship
Indian Womens Association at Bonn Scholarship
National Science Foundation
IIST-ISRO Ph.D. Fellowship
Fulbright-Nehru Master’s Fellowships
MIT Scholarship
Financial Aid
Cambridge Commonwealth and Collwgw Awards
Oxford and Cambridge Society of India is a scholarship
SGPC Cambridge Scholarships",
Bachelors,Aerospace Engineering,Areospace Engineering,"MIT, USA",5 Years,"
INR 47,62,117 (MIT, USA) (Bachelor's)
",,,,,", IELTS/TOFEL (MIT, University of Cambridge )
, ACT/SAT (MIT)
, LOR and Essays (MIT)
,  Strong Profile/CV/Resume
,  Interviews and Trasncipts of records",,,,,,,"https://aeroastro.mit.edu/about-us/
","Institute Merit-cumMeans Scholarship
Institute free studentship
Girish Ready Scholarship
Indian Womens Association at Bonn Scholarship
National Science Foundation
IIST-ISRO Ph.D. Fellowship
Fulbright-Nehru Master’s Fellowships
MIT Scholarship
Financial Aid
Cambridge Commonwealth and Collwgw Awards
Oxford and Cambridge Society of India is a scholarship
SGPC Cambridge Scholarships",
Bachelors,Aerospace Engineering,Areospace Engineering,"University of Cambridge, UK",3-5 Years,"£24,507 (Bachelor's)",,,,,", IELTS/TOFEL (MIT, University of Cambridge )
, ACT/SAT (MIT)
, LOR and Essays (MIT)
,  Strong Profile/CV/Resume
,  Interviews and Trasncipts of records",,,,,,,https://www.undergraduate.study.cam.ac.uk/courses/engineering,"Institute Merit-cumMeans Scholarship
Institute free studentship
Girish Ready Scholarship
Indian Womens Association at Bonn Scholarship
National Science Foundation
IIST-ISRO Ph.D. Fellowship
Fulbright-Nehru Master’s Fellowships
MIT Scholarship
Financial Aid
Cambridge Commonwealth and Collwgw Awards
Oxford and Cambridge Society of India is a scholarship
SGPC Cambridge Scholarships",
Bachelors,Mechanical Engineering,Robotics (specialization Of Mechanical Engineering At Iits and Mit),IIT Kanpur,"4-5 Years
","INR 8.47 lakh total (IIT K) (BTech)
INR 20,000 - INR 77,000 (IIT K MTech)
",,,,,JEE,,,,,,,"https://www.iitk.ac.in/robotics/
","Institute Merit-cumMeans Scholarship
Institute free studentship
Girish Ready Scholarship
Indian Womens Association at Bonn Scholarship
National Science Foundation
IIST-ISRO Ph.D. Fellowship
Fulbright-Nehru Master’s Fellowships
MIT Scholarship
Financial Aid
Excellence Scholarship & Opportunity Programme (ESOP)",
Bachelors,Mechanical Engineering,Robotics (specialization Of Mechanical Engineering At Iits and Mit),IIT Bombay,"4-5 Years
","INR 10 lakh (IIT B BTech)
INR 1.2 L total (IIT B) (MTech)
",,,,,JEE,,,,,,,"
https://www.me.iitb.ac.in/?q=individual-research-group/Robotics%20Laboratory
","Institute Merit-cumMeans Scholarship
Institute free studentship
Girish Ready Scholarship
Indian Womens Association at Bonn Scholarship
National Science Foundation
IIST-ISRO Ph.D. Fellowship
Fulbright-Nehru Master’s Fellowships
MIT Scholarship
Financial Aid
Excellence Scholarship & Opportunity Programme (ESOP)",
Bachelors,Mechanical Engineering,Robotics (specialization Of Mechanical Engineering At Iits and Mit),IIT Delhi,"4-5 Years
","INR 1,07,800 (IIT D) (BTech)
INR 4 lakh - INR 8.1 lakh
",,,,,JEE,,,,,,,"https://home.iitd.ac.in/show.php?id=286&in_sections=News
","Institute Merit-cumMeans Scholarship
Institute free studentship
Girish Ready Scholarship
Indian Womens Association at Bonn Scholarship
National Science Foundation
IIST-ISRO Ph.D. Fellowship
Fulbright-Nehru Master’s Fellowships
MIT Scholarship
Financial Aid
Excellence Scholarship & Opportunity Programme (ESOP)",
